#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 195947:2718 | 06/10/12 04:52:29 | 66   | 66   | 9473397.827    | 6636299.512   |
| 195948:2718 | 06/10/12 05:21:59 | 615  | 615  | 72745094.342   | 69408466.587  |
| 195950:2718 | 06/10/12 09:24:11 | 598  | 598  | 47362890.218   | 46588053.900  |
| 195963:2719 | 06/10/12 21:55:09 | 7    | 7    | 971745.764     | 820862.540    |
| 195970:2720 | 06/11/12 00:09:07 | 40   | 40   | 5806071.877    | 2226034.356   |
| 196019:2723 | 06/11/12 10:35:37 | 15   | 15   | 2206606.723    | 1907207.802   |
| 196027:2723 | 06/11/12 11:48:41 | 175  | 175  | 21674438.446   | 21300746.397  |
| 196046:2724 | 06/11/12 16:04:31 | 28   | 28   | 4102707.483    | 3833220.502   |
| 196047:2724 | 06/11/12 16:21:23 | 71   | 71   | 9905427.707    | 9208489.723   |
| 196048:2724 | 06/11/12 16:57:52 | 48   | 48   | 6256880.069    | 6001791.733   |
| 196197:2726 | 06/12/12 18:09:49 | 493  | 493  | 63549503.408   | 62122154.263  |
| 196199:2726 | 06/12/12 21:29:37 | 534  | 534  | 52046307.958   | 51430246.489  |
| 196200:2726 | 06/13/12 01:03:02 | 68   | 68   | 5749870.197    | 5701112.937   |
| 196202:2726 | 06/13/12 01:36:10 | 108  | 108  | 8745572.282    | 8511904.688   |
| 196203:2726 | 06/13/12 02:21:11 | 117  | 117  | 8975180.701    | 8916231.027   |
| 196218:2728 | 06/13/12 07:43:09 | 760  | 760  | 91503017.722   | 89943975.899  |
| 196239:2728 | 06/13/12 12:50:17 | 851  | 851  | 67019719.267   | 66495533.119  |
| 196249:2729 | 06/14/12 00:03:03 | 37   | 37   | 5488841.346    | 5233038.503   |
| 196250:2729 | 06/14/12 00:22:01 | 408  | 408  | 52157995.654   | 51090696.020  |
| 196252:2729 | 06/14/12 03:15:10 | 34   | 34   | 3773146.143    | 3731651.271   |
| 196334:2732 | 06/14/12 16:30:13 | 268  | 268  | 37275306.836   | 36354856.583  |
| 196349:2733 | 06/14/12 22:46:15 | 187  | 187  | 26663669.278   | 24689678.545  |
| 196352:2733 | 06/15/12 00:42:24 | 5    | 5    | 626950.278     | 2687.981      |
| 196353:2733 | 06/15/12 00:50:00 | 158  | 158  | 18858594.746   | 18478010.953  |
| 196357:2733 | 06/15/12 02:01:46 | 4    | 4    | 451361.015     | 416052.441    |
| 196359:2733 | 06/15/12 02:08:36 | 2    | 2    | 223097.632     | 186176.756    |
| 196362:2733 | 06/15/12 02:24:41 | 88   | 88   | 9389635.574    | 9188385.982   |
| 196363:2733 | 06/15/12 03:10:27 | 34   | 34   | 3464257.297    | 3378737.060   |
| 196364:2733 | 06/15/12 03:29:54 | 1299 | 1299 | 99086900.488   | 98159733.777  |
